"Degree_resistance","Access","eir","half_life","Vaccine_type","Age","Blood_clerance","Seasonality","time_0.1","time_UP","time_LOW"
1,0.1,50,1,"AIV","18",1,"Seasonal",6.2069516716607,6.00663757409236,6.4210871616633
0,0.3,5,1,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1,"AIV","18",1,"Seasonal",11.4292018647632,10.5927457851874,12.409085168042
0.5,0.3,5,1,"AIV","18",1,"Seasonal",6.17201884417138,5.95561008412561,6.40474790691434
0.75,0.3,5,1,"AIV","18",1,"Seasonal",4.46415718279815,4.33753098854752,4.5983989342051
1,0.3,5,1,"AIV","18",1,"Seasonal",3.68574572500115,3.56908675993718,3.8102885995563
0,0.3,50,1,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"AIV","18",1,"Seasonal",17.8301238436054,16.1840020731382,19.8490258030399
0.5,0.3,50,1,"AIV","18",1,"Seasonal",8.93144052004623,8.54921968500153,9.34943772029588
0.75,0.3,50,1,"AIV","18",1,"Seasonal",6.30639782069956,6.09553922922308,6.53236729017824
1,0.3,50,1,"AIV","18",1,"Seasonal",5.05388728419819,4.87430912761397,5.24720352908659
0,0.1,5,1.5,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1.5,"AIV","18",1,"Seasonal",12.1440727380247,11.1550819668172,13.3254880560346
0.5,0.1,5,1.5,"AIV","18",1,"Seasonal",6.51475420399941,6.29434875117814,6.75115538191957
0.75,0.1,5,1.5,"AIV","18",1,"Seasonal",4.71019185287505,4.59618513081887,4.82999822478388
1,0.1,5,1.5,"AIV","18",1,"Seasonal",3.8814575423347,3.76444335683921,4.00597965682013
0,0.1,50,1.5,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1.5,"AIV","18",1,"Seasonal",17.8979466516499,16.2153772720383,19.9701227388106
0.5,0.1,50,1.5,"AIV","18",1,"Seasonal",9.19706333127787,8.74546830836156,9.69783635769242
0.75,0.1,50,1.5,"AIV","18",1,"Seasonal",6.55568250528386,6.33718571054671,6.78978422779795
1,0.1,50,1.5,"AIV","18",1,"Seasonal",5.2571682684173,5.11889655215872,5.40311736177093
0,0.3,5,1.5,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1.5,"AIV","18",1,"Seasonal",9.50242463625909,8.96480318419256,10.108642407928
0.5,0.3,5,1.5,"AIV","18",1,"Seasonal",5.28487230148925,5.14104783368079,5.43697555774718
0.75,0.3,5,1.5,"AIV","18",1,"Seasonal",3.85699555120549,3.76966948002244,3.94846346461323
